CST-IBS/CBS,Descrição CST-IBS/CBS,Permitido em DFe ICMS?,ind_gIBSCBS,ind_gIBSCBSMono,ind_gRed,ind_gDif,ind_gTribRegular
000,Tributação integral,Sim,1,0,0,0,0
010,Tributação com alíquotas uniformes,Não,0,0,0,0,0
011,Tributação com alíquotas uniformes reduzidas,Não,0,0,0,0,0
200,Alíquota reduzida,Sim,1,0,1,0,AVALIAR EM CCLASSTRIB
210,Redução de alíquota com redutor de base de cálculo,Sim,1,0,0,0,0
220,Alíquota fixa,Sim,1,0,0,0,0
221,Alíquota fixa proporcional,Não,0,0,0,0,0
400,Isenção,Sim,0,0,0,0,0
410,Imunidade e não incidência,Sim,0,0,0,0,0
510,Diferimento,Sim,1,0,0,1,0
550,Suspensão,Sim,1,0,0,0,AVALIAR EM CCLASSTRIB
620,Tributação monofásica,Sim,0,1,0,0,0
800,Transferência de crédito,Sim,0,0,0,0,0
810,Ajustes,Sim,,,,,
820,Tributação em declaração de regime específico,Não,0,0,0,0,0
,Legenda:,,,,,,
,0 = Não é permitido,,,,,,
,1 = Exige,,,,,,
